source,target,peso
@kraistens,@ruipedro4195,1
@legoyamamoto,@legoyamamoto,1
@kraistens,@legoyamamoto,1
@Ricky_Teles,@RonairMoises-q6j,1
@Molequedevila07,@Molequedevila07,1
@Ricky_Teles,@EduardoPereira-k3i,1
@lua6937,@silvaniasantosnascimentosa9897,1
@Buraco_Negro17,@Gonsixz17,2
@Gonsixz17,@Gonsixz17,1
@CarolinaSoares-f2s,@canal_vitor_mordes,1
@guilhermeMeier94,@maxtalfan713,1
@Gui_uchihax,@Gui_uchihax,3
@kaioaocubo,@sagadeanimes,1
@Leonardo-g9b,@MariaSamaraFerreiraaraujo,1
@kaioaocubo,@MariaSamaraFerreiraaraujo,1
@Eevee_verso,@MariaSamaraFerreiraaraujo,1
@sagadeanimes,@francileia-u7k,1
@sagadeanimes,@Leonardo-g9b,1
@Leonardo-g9b,@Leonardo-g9b,1
@sharingan0095,@Samu7santiago,1
@eusimtrevormania,@PyetroR3,2
@Craniunsteb,@PyetroR3,1
@lucaskaton,@NgilmarMotadelima,1
@Estrupilsonmolesteivon,@fellipelira4412,1
@zinokkkk,@fellipelira4412,1
@Craniunsteb,@fellipelira4412,1
@MusicGlass-d4n,@mikaelaguiar6544,1
@lucaskaton,@mikaelaguiar6544,1
@ApenasUmaPessoaEstranha,@mikaelaguiar6544,1
@adrianvantasset8081,@mikaelaguiar6544,1
@nerdolatriste4,@LeonardoMuniz-ts8gz,1
@Estrupilsonmolesteivon,@LeonardoMuniz-ts8gz,1
@zinokkkk,@LeonardoMuniz-ts8gz,1
@kaioaocubo,@pedrohenriquedreamleagueso929,1
@kaioaocubo,@JosuéJoséLamim,1
@JoãoPaulo-b7z3y,@sunshinerlr,1
@Estrupilsonmolesteivon,@sunshinerlr,1
@jessicacristine7811,@jessicacristine7811,1
@adrianvantasset8081,@jessicacristine7811,1
@Bakura887,@icaique123,1
@Pedro_017,@YasminSouza-u2r,1
@DudD-c2t,@YasminSouza-u2r,1
@adrianvantasset8081,@YasminSouza-u2r,1
@YasminSouza-u2r,@YasminSouza-u2r,1
@cleytoum388,@taynanvalerio1677,1
@DaviSpideyk2,@taynanvalerio1677,1
@adrianvantasset8081,@IvaneteMendes-fg1sz,1
