id,total_comments,total_replies_received
@alvesysilva,1,0
@DianeDuarte-c7o,1,0
@Cataovo,1,0
@josianeoliveira2533,1,0
@nelcibosio8302,1,0
@JoseDavi-v4h4u,1,0
@giselesousa656,1,0
@seilae1j,1,0
@sr.nescal-ff,1,0
@julianademoraesguerra2182,1,0
@kauagameplay5026,1,0
@mrchurchil3854,1,0
@maykomelz6379,1,0
@marcosmedeiros931,1,0
@hopesnotfound7776,1,0
@daviddrn2970,1,0
@Mario-AV,3,0
@ruipedro4195,1,1
@kraistens,0,0
@Gustavo23591,1,0
@miudex2023,1,0
@dhiovanna_mondadori,1,0
@GaragemAteliê-d7k,1,0
@Ricky_Teles,4,0
@legoyamamoto,1,2
@YustenNhaca,1,0
@RonairMoises-q6j,3,1
@GenivalLeite-y5w,1,0
@nbXcr,1,0
@Molequedevila07,1,1
@Nicholas1234-uw6lh,2,0
@Efraim_skatistas,12,0
@MariaLuiza-o5t3v,1,0
@boos.talikida123,1,0
@DanielaRosa-z6y,1,0
@adrianabaumhardt7611,1,0
@SouUmPresentedeDeus,1,0
@EduardoPereira-k3i,1,1
@josenilsonmorais2781,1,0
@Backroom_chan,1,0
@bluepen444,1,0
@AllahAkbr666,1,0
@RRRRRRRRR33,1,0
@nanndodaviroblox,1,0
@cleberDelgado-l6m,1,0
@eaglesun6332,1,0
@ludymillamellyssa6211,1,0
@elzacazuza8989,1,0
@desireesavazoni2827,1,0
@davidguilhermeoliveiradias3115,1,0
@lucianabarreto5170,1,0
@EduardoGuimarães-b6e,1,0
@monkeyd.eduardoreidospirat2201,1,0
@aidedejesusdossantos3348,1,0
@AndréGui-m1m,1,0
@TetaTeta-d5t7c,1,0
@magnovissotto5594,1,0
@eduardoff07conteudos,1,0
@JanaínaForte-p3j,1,0
@contextualizandoavida7089,1,0
@mariadorosarioreis3540,2,0
@Micafc_123,1,0
@MariaMatos-h1c,1,0
@thatisdefnotmyname,1,0
@tonny1580,1,0
@Gabrielisouzaxavier,1,0
@BrozerGamer,2,0
@alexandrehenrique8116,1,0
@rafaelavital7078,1,0
@cesarqueiroz_surfing,1,0
@KamillaPrata,1,0
@silvaniasantosnascimentosa9897,1,1
@lua6937,0,0
@AnaVictoria-i1u,1,0
@AnthonySeuMacho,1,0
@josi090974,1,0
@ImperioJayson,1,0
@AntoniaLopes-l5b,1,0
@BRUNOMARQUESDEOLIVEIRA,6,0
@CristinaRocha-v6b,1,0
@Roberto-e6b1v,1,0
@Helena026,1,0
@AnnaDaniellySouza,1,0
@danielfernandes355,1,0
@AngélicadaSilvaSantos-n7o,1,0
@OrlandolimanogueiraNogueira,1,0
@servicosoperacoes5564,1,0
@PietroFerreira-lq4hg,1,0
@dilmarodriguescosta3223,1,0
@ElianeLima-g7c,1,0
@HenzoGarcia,1,0
@AnaMaldonado-q4e,1,0
@Gonsixz17,1,3
@Buraco_Negro17,0,0
@cristianedias7153,1,0
@MiaLemos,1,0
@VictorEmanuelsouzadematosferre,1,0
@RyuketsuSenshi,1,0
@CosaNostraBR,1,0
@dobrasil8479,1,0
@vitormarques1,1,0
@ElianeDequadros-e8q,1,0
@henriquefagundes4755,1,0
@raisaflores905,1,0
@quesiaribeiro-un8vf,1,0
@canal_vitor_mordes,2,1
@CarolinaSoares-f2s,0,0
@cortes708,8,0
@AntonioRodrigues-k4d,1,0
@bigblackz8452,1,0
@ayumichan2222,1,0
@rafaellacauduro6376,1,0
@mariamadu-xe7kr,1,0
@maxtalfan713,1,1
@guilhermeMeier94,0,0
@andreiaamorim6221,1,0
